LibraryAdministration,LibraryCode,ID,Library,Address,ZIPcode,Town,wikidata:Town,Province,wikidata:Province,Telephone,Email
Biblioteca Pública Municipal de Valdeganga,164,02007012657,BIBLIOTECA PÚBLICA MUNICIPAL DE VALDEGANGA,"Nueva, s/n",2150,Valdeganga,https://www.wikidata.org/wiki/Q54877,Albacete Province,https://www.wikidata.org/wiki/Q54889,967400158,crisboira@hotmail.com
Biblioteca Pública Municipal de Vianos,909,NN846410197,BIBLIOTECA PÚBLICA MUNICIPAL DE VIANOS,"Calvario, s/n",2315,Vianos,https://www.wikidata.org/wiki/Q609870,Albacete Province,https://www.wikidata.org/wiki/Q54889,637449984,bibliotecavianos@hotmail.com
Biblioteca Pública Municipal de Villalgordo del Júcar,820,02013552687,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLALGORDO DEL JÚCAR,"Huertas, s/n",2636,Villalgordo del Júcar,https://www.wikidata.org/wiki/Q611274,Albacete Province,https://www.wikidata.org/wiki/Q54889,967455001,bibliovillalgordo@hotmail.com
Biblioteca Pública Municipal de Villamalea,165,02007182658,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAMALEA,"Carcel, 2",2270,Villamalea,https://www.wikidata.org/wiki/Q609894,Albacete Province,https://www.wikidata.org/wiki/Q54889,967486283,bibliovillamalea@hotmail.com
Biblioteca Pública Municipal de Villapalacios,166,02007232659,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAPALACIOS,"Cervantes, 11",2350,Villapalacios,https://www.wikidata.org/wiki/Q615093,Albacete Province,https://www.wikidata.org/wiki/Q54889,967388700,bibliovillapalacios@hotmail.com
Bibliotecas dependientes del Ayuntamiento de Villarrobledo,940,020073911196,BIBLIOTECA DEL SILO DEL CONOCIMIENTO,"Reyes Católicos, 101",2600,Villarrobledo,https://www.wikidata.org/wiki/Q82030,Albacete Province,https://www.wikidata.org/wiki/Q54889,661468397,bibliotecasilo@villarrobledo.com
Bibliotecas dependientes del Ayuntamiento de Villarrobledo,167,02007392660,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLARROBLEDO,"Carrasca, 29",2600,Villarrobledo,https://www.wikidata.org/wiki/Q82030,Albacete Province,https://www.wikidata.org/wiki/Q54889,967555630,biblioteca@villarrobledo.com
Sala de Lectura Pública de Villavaliente,717,02013682688,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAVALIENTE,"La Sierra, 1",2154,Villavaliente,https://www.wikidata.org/wiki/Q615067,Albacete Province,https://www.wikidata.org/wiki/Q54889,967401604,bibliocorralvilla@hotmail.com
Sala de Lectura Pública de Villaverde,168,02007442661,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAVERDE DE GUADALIMAR,Paseo de las Delicias,2460,Villaverde de Guadalimar,https://www.wikidata.org/wiki/Q615103,Albacete Province,https://www.wikidata.org/wiki/Q54889,967434001,villaverde@dipualba.es
Biblioteca Pública Municipal de Yeste,169,02007602663,BIBLIOTECA PÚBLICA MUNICIPAL DE YESTE,"Rayo, 3",2480,Yeste,https://www.wikidata.org/wiki/Q618586,Albacete Province,https://www.wikidata.org/wiki/Q54889,967540013,biblioteca.yeste@dipualba.es
Biblioteca Pública Municipal de Abenójar,170,13000103748,BIBLIOTECA PÚBLICA MUNICIPAL DE ABENÓJAR,"Calle Nueva, 20",13180,Abenójar,https://www.wikidata.org/wiki/Q1614505,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926835001,biblioteca_abenojar@hotmail.com
Biblioteca Pública Municipal de Agudo,171,13000253749,BIBLIOTECA PÚBLICA MUNICIPAL DE AGUDO,"Pablo Picasso, 1-1º",13410,Agudo,https://www.wikidata.org/wiki/Q1632598,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926730713,biblioteca@agudo.es
Bibliotecas dependientes del Ayuntamiento de Alcázar de San Juan,180,13000596518,BIBLIOTECA PÚBLICA MUNICIPAL DE ALCÁZAR DE SAN JUAN,"Goya, 1",13600,Alcázar de San Juan,https://www.wikidata.org/wiki/Q679269,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926551008,cdominguez.bibliotecas@patronatoculturaalcazar.org
Sala de Lectura Pública de Alcolea de Calatrava,182,13000843752,BIBLIOTECA PÚBLICA MUNICIPAL DE ALCOLEA DE CALATRAVA,"Ronda Santa Escolástica, s/n",13107,Alcolea de Calatrava,https://www.wikidata.org/wiki/Q645974,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926778017,universidadpopular@alcoleacva.com
Biblioteca Pública Municipal de Alcubillas,183,13013713827,BIBLIOTECA PÚBLICA MUNICIPAL DE ALCUBILLAS,"Ronda de las Escuelas, s/n",13391,Alcubillas,https://www.wikidata.org/wiki/Q1632937,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926356233,bpm.alcubillas@jccm.es
Biblioteca Pública Municipal de Aldea del Rey,184,13000973753,BIBLIOTECA PÚBLICA MUNICIPAL DE ALDEA DEL REY,"Real, 94",13380,Aldea del Rey,https://www.wikidata.org/wiki/Q579584,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926865099,biblio@aldeadelrey.es
Biblioteca Pública Municipal de Alhambra,185,13001013754,BIBLIOTECA PÚBLICA MUNICIPAL DE ALHAMBRA,"Cervantes, 10",13248,"Alhambra, Ciudad Real",https://www.wikidata.org/wiki/Q1614490,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,670857489,bibliotecaalhambra1990@gmail.com
Biblioteca Pública Municipal de Almadén,188,13001233755,BIBLIOTECA PÚBLICA MUNICIPAL DE ALMADÉN,"Antonio Blázquez, 92",13400,Almadén,https://www.wikidata.org/wiki/Q465085,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926711914,casacultura@almaden.es
Biblioteca Pública Municipal de Almagro,190,13001443757,BIBLIOTECA PÚBLICA MUNICIPAL DE ALMAGRO,"Mayor de Carnicerías, 11",13270,"Almagro, Ciudad Real",https://www.wikidata.org/wiki/Q752280,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926882090,biblioteca@almagro.es
Biblioteca Pública Municipal de Almedina,191,13001603758,BIBLIOTECA PÚBLICA MUNICIPAL DE ALMEDINA,"Mayor, 42",13328,Almedina,https://www.wikidata.org/wiki/Q1632986,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926356427,richarmo6@hotmail.com
Biblioteca Pública Municipal de Almodóvar del Campo,192,13001763759,BIBLIOTECA PÚBLICA MUNICIPAL DE ALMODÓVAR DEL CAMPO,"Corredera, 12",13580,Almodóvar del Campo,https://www.wikidata.org/wiki/Q1631896,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926483449,casamarquesa@almodovardelcampo.es
Sala de Lectura Pública de Anchuras,194,13001953761,BIBLIOTECA PÚBLICA MUNICIPAL DE ANCHURAS,"José María del Moral, 7",13117,Anchuras,https://www.wikidata.org/wiki/Q920865,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926773001,anchurasayuntamiento@yahoo.es
Biblioteca Pública Municipal de Arenales de San Gregorio,172,13004866436,BIBLIOTECA PÚBLICA MUNICIPAL DE ARENALES DE SAN GREGORIO,"Dulcinea, s/n",13619,Arenales de San Gregorio,https://www.wikidata.org/wiki/Q533905,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926584101,biblioarenales@gmail.com
Biblioteca Pública Municipal de Arenas de San Juan,195,NN481010440,BIBLIOTECA PÚBLICA MUNICIPAL DE ARENAS DE SAN JUAN,"Plaza de España, 1",13679,Arenas de San Juan,https://www.wikidata.org/wiki/Q1631935,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926893002,bibliotecasj@hotmail.com
Red de Bibliotecas Públicas Muncipales de Argamasilla de Alba,196,13002161215,BIBLIOTECA PÚBLICA MUNICIPAL DE ARGAMASILLA DE ALBA,"Capitán Sánchez Alcántara, 5",13710,Argamasilla de Alba,https://www.wikidata.org/wiki/Q1632537,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926523234,biblioteca@argamasilladealba.es
Biblioteca Pública Municipal de Argamasilla de Calatrava,197,13002213762,BIBLIOTECA PÚBLICA MUNICIPAL,"José María Roales, 6",13440,Argamasilla de Calatrava,https://www.wikidata.org/wiki/Q1631995,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926478215,bp_medrano.argamasilladecalatrava@hotmail.com
Biblioteca Pública Municipal de Arroba de Los Montes,198,13002373763,BIBLIOTECA PÚBLICA MUNICIPAL DE ARROBA DE LOS MONTES,"Plaza de las Escuelas, s/n",13193,Arroba de los Montes,https://www.wikidata.org/wiki/Q1616809,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926771621,claverosancheza@gmail.com
Sala de Lectura Pública de Ballesteros de Calatrava,199,13002423764,BIBLIOTECA PÚBLICA MUNICIPAL DE BALLESTEROS DE CALATRAVA,"Plaza Constitución, 1",13432,Ballesteros de Calatrava,https://www.wikidata.org/wiki/Q953205,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926842001,biblioteca@ballesterosdecalatrava.es
Biblioteca Pública Municipal de Bolaños de Calatrava,200,13002553765,BIBLIOTECA PÚBLICA MUNICIPAL DE BOLAÑOS,"Toledillo,19",13260,Bolaños de Calatrava,https://www.wikidata.org/wiki/Q1613546,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926871866,biblioteca@bolanosdecalatrava.es
Biblioteca Pública Municipal de Brazatortas,201,13002683766,BIBLIOTECA PÚBLICA MUNICIPAL DE BRAZATORTAS,"Avenida de Alcudia, 19",13450,Brazatortas,https://www.wikidata.org/wiki/Q1631975,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926471501,bibliotecabrazatortas@gmail.com
Biblioteca Pública Municipal de Cabezarrubias del Puerto,203,13002743767,BIBLIOTECA PÚBLICA MUNICIPAL DE CABEZARRUBIAS DEL PUERTO,"Plaza de la Constitución, 1",13591,Cabezarrubias del Puerto,https://www.wikidata.org/wiki/Q728609,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926476021,bpmcabezarrubias@yahoo.es
Biblioteca Pública Municipal de Calzada de Calatrava,204,13002803768,BIBLIOTECA PÚBLICA MUNICIPAL DE CALZADA DE CALATRAVA,"Constitución, 13",13370,Calzada de Calatrava,https://www.wikidata.org/wiki/Q921414,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926876157,biblioteca@calzadadecalatrava.es
Biblioteca Pública Municipal de Campo de Criptana,205,13002933769,BIBLIOTECA PÚBLICA MUNICIPAL DE CAMPO DE CRIPTANA,"Santa Ana, 3",13610,Campo de Criptana,https://www.wikidata.org/wiki/Q681080,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926562454,biblioteca@campodecriptana.es
Biblioteca Pública Municipal de Carrión de Calatrava,207,13003143770,BIBLIOTECA PÚBLICA MUNICIPAL DE CARRIÓN DE CALATRAVA,"Echegaray, 1",13150,Carrión de Calatrava,https://www.wikidata.org/wiki/Q1614497,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926814040,biblioteca@carriondecalatrava.es
Biblioteca Pública Municipal de Carrizosa,208,13003293771,BIBLIOTECA PÚBLICA MUNICIPAL DE CARRIZOSA,"Fuente, 5",13329,Carrizosa,https://www.wikidata.org/wiki/Q1642284,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926368118,bibliocarrizosa@yahoo.es
Biblioteca Pública Municipal de Castellar de Santiago,209,13003353772,BIBLIOTECA PÚBLICA MUNICIPAL DE CASTELLAR DE SANTIAGO,"Plaza de la Constitución, 3",13750,Castellar de Santiago,https://www.wikidata.org/wiki/Q1644848,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926340225,antonialopez@castellardesantiago.es
Biblioteca Pública Municipal de Chillón,210,13005453777,BIBLIOTECA PÚBLICA MUNICIPAL DE CHILLÓN,"Rosario Márquez, 37",13412,Chillón,https://www.wikidata.org/wiki/Q1631224,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926712030,casacultura@chillon.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,221,13013491235,BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL,"Plaza Pío XII, 1",13002,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211044,bmpioxii@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,257,13013491246,"BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL ""SANTIAGO""","Calatrava, 35",13003,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211044,bmsantiago@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,255,13013491236,BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL,"Guadalajara, 9",13003,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211044,bmsanjuan@ext.ayto-ciudadreal.es
Biblioteca Pública del Estado en Ciudad Real,211,13003533773,BIBLIOTECA PÚBLICA DEL ESTADO EN CIUDAD REAL,"Avda. Ferrocarril, s/n",13004,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926279215,bpcr@jccm.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,237,13013491244,"BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL ""LARACHE""","Carretera Fuensanta, 18",13004,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211044,bmlarache@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,230,13013491241,"BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL ""LOS ÁNGELES""","Madrid, 6",13004,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211044,bmangeles@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,229,13013491242,"Biblioteca Pública Municipal de Ciudad Real  ""El Pilar""",Virgen Blanca s /n,13004,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211044,bmpilar@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,232,13013491243,BIBLIOTECA PÚBLICA MUNICIPAL LA GRANJA,"Brasil, 4",13005,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211040,bmgranja@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,227,13013491237,BIBLIOTECA PÚBLICA MUNICIPAL DE VALVERDE,"Valeriano García, nº9",13195,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211044,bmvalverde@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,218,13013491245,BIBLIOTECA PÚBLICA MUNICIPAL DE LAS CASAS,"Las Escuelas, s/n",13196,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211044,bmcasas@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,776,13013491238,BIBLIOTECA PÚBLICA MUNICIPAL DE LA POBLACHUELA,"Carretera Puertollano, km. 2",13197,Ciudad Real,https://www.wikidata.org/wiki/Q15093,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926211044,bmpoblachuela@ext.ayto-ciudadreal.es
Biblioteca Pública Municipal de Corral de Calatrava,258,13014043829,BIBLIOTECA PÚBLICA MUNICIPAL DE CORRAL DE CALATRAVA,Paseo Ángel Díaz del Castillo s/n,13190,Corral de Calatrava,https://www.wikidata.org/wiki/Q1644258,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926830001,administracion@corraldecalatrava.es
Biblioteca Pública Municipal de Los Cortijos,259,13005243775,BIBLIOTECA PÚBLICA MUNICIPAL DE LOS CORTIJOS,"Paraje La Loma, s/n",13427,Los Cortijos,https://www.wikidata.org/wiki/Q1642127,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926808052,universidadpopular@loscortijos.com
Biblioteca Pública Municipal de Cózar,260,13005303776,BIBLIOTECA PÚBLICA MUNICIPAL DE CÓZAR,"Bajada del Pilar, 12",13345,Cózar,https://www.wikidata.org/wiki/Q659398,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926365022,biblio@cozar.es
Biblioteca Pública Municipal de Daimiel,262,13005613778,BIBLIOTECA PÚBLICA MUNICIPAL DE DAIMIEL,"Gregorio Molinero, 9",13250,Daimiel,https://www.wikidata.org/wiki/Q1631261,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926260894,biblioteca@aytodaimiel.es
Sala de Lectura Pública de Fernán Caballero,263,13005773779,BIBLIOTECA PÚBLICA MUNICIPAL DE FERNÁN CABALLERO,"San Isidro, 3",13140,Fernán Caballero,https://www.wikidata.org/wiki/Q1983190,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,664472680,bpmfernancaballero@gmail.com
Biblioteca Pública Municipal de Fuencaliente,265,13005963781,BIBLIOTECA PÚBLICA MUNICIPAL DE FUENCALIENTE,"Plaza de España, 5",13130,Fuencaliente,https://www.wikidata.org/wiki/Q396388,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926470184,bibliofuen@hotmail.com
Biblioteca Pública Municipal de Fuente El Fresno,267,13006173782,BIBLIOTECA PÚBLICA MUNICIPAL DE FUENTE EL FRESNO,"Antonio de la Fuente, 23",13680,Fuente el Fresno,https://www.wikidata.org/wiki/Q1642113,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926806717,bpm.fuenteelfresno@hotmail.com
Biblioteca Pública Municipal de Granátula de Calatrava,268,13006223783,BIBLIOTECA PÚBLICA MUNICIPAL DE GRANÁTULA DE CALATRAVA,"Plaza de la Constitución, 2",13360,Granátula de Calatrava,https://www.wikidata.org/wiki/Q1642258,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926868131,granatulacalatrava.capi@jccm.es
Biblioteca Pública Municipal de Herencia,270,13006433785,BIBLIOTECA PÚBLICA MUNICIPAL DE HERENCIA,"Lope de Vega, 35",13640,Herencia,https://www.wikidata.org/wiki/Q1632508,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926572475,biblioteca@herencia.es
Biblioteca Pública Municipal de Horcajo de Los Montes,272,13006563786,BIBLIOTECA PÚBLICA MUNICIPAL DE HORCAJO DE LOS MONTES,"Cervantes, 7",13110,Horcajo de los Montes,https://www.wikidata.org/wiki/Q1642272,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926032709,culturaydeportes@aytohorcajodelosmontes.es
Biblioteca Pública Municipal de Las Labores,273,13006693787,BIBLIOTECA PÚBLICA MUNICIPAL DE LAS LABORES,"Plaza de la Cultura, s/n",13660,Las Labores,https://www.wikidata.org/wiki/Q1644968,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926892233,bibliotecalaslabores@gmail.com
Biblioteca Pública Municipal de Llanos del Caudillo,279,13012733823,BIBLIOTECA PÚBLICA MUNICIPAL DE LLANOS DEL CAUDILLO,"Plaza la Constitución, s/n",13220,Llanos del Caudillo,https://www.wikidata.org/wiki/Q585451,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926644152,bibliollanos@hotmail.com
Biblioteca Pública Municipal de Luciana,274,NN45307936,BIBLIOTECA PÚBLICA MUNICIPAL DE LUCIANA,"Juan Carlos I, 4",13108,"Luciana, Ciudad Real",https://www.wikidata.org/wiki/Q1632160,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926769027,bibliotecadeluciana@hotmail.com
Biblioteca Pública Municipal de Malagón,275,13006813788,BIBLIOTECA PÚBLICA MUNICIPAL DE MALAGÓN,"Tercia, 54",13420,Malagón,https://www.wikidata.org/wiki/Q1613270,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926801135,bibliotecamalagon@hotmail.es
Bibliotecas dependientes del Ayuntamiento de Manzanares,277,13006941222,BIBLIOTECA PÚBLICA MUNICIPAL DE MANZANARES,"Cárcel, 9",13200,Manzanares,https://www.wikidata.org/wiki/Q1372697,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926613208,biblioteca@manzanares.es
Biblioteca Pública Municipal de Membrilla,3,13007153790,BIBLIOTECA PÚBLICA MUNICIPAL DE MEMBRILLA,"San León, s/n",13230,Membrilla,https://www.wikidata.org/wiki/Q1642197,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926648022,biblioteca@aytomembrilla.org
Biblioteca Pública Municipal de Miguelturra,6,13007363791,BIBLIOTECA PÚBLICA MUNICIPAL DE MIGUELTURRA,"Calle Carretas , 22",13170,Miguelturra,https://www.wikidata.org/wiki/Q1632172,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926272049,bibliotecamiguelturra@hotmail.com
Biblioteca Pública Municipal de Montiel,7,13014263831,BIBLIOTECA PÚBLICA MUNICIPAL DE MONTIEL,"Diputación, 8",13326,Montiel,https://www.wikidata.org/wiki/Q1610078,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926353496,bibliotecamontiel@yahoo.es
Biblioteca Pública Municipal de Moral de Calatrava,8,13007413792,BIBLIOTECA PÚBLICA MUNICIPAL DE MORAL DE CALATRAVA,"Reyes Católicos, 21",13350,Moral de Calatrava,https://www.wikidata.org/wiki/Q1644456,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926319736,biblioteca@moraldecalatrava.org
Biblioteca Pública Municipal de Pedro Muñoz,11,13007733794,BIBLIOTECA PÚBLICA MUNICIPAL DE PEDRO MUÑOZ,Plaza de España,13620,Pedro Muñoz,https://www.wikidata.org/wiki/Q910402,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926586355,biblioteca@pedro-munoz.com
Red de bibliotecas públicas municipales de Piedrabuena,13,13007926521,BIBLIOTECA PÚBLICA MUNICIPAL DE PIEDRABUENA,"Rodríguez Marín, 5",13100,Piedrabuena,https://www.wikidata.org/wiki/Q1631293,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926760250,mercedesnavaslaguna@yahoo.es
Red de bibliotecas públicas municipales de Piedrabuena,856,13007921261,BIBLIOTECA PÚBLICA MUNICIPAL DE EL ALCORNOCAL,Carolina 12,13100,Piedrabuena,https://www.wikidata.org/wiki/Q1631293,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926760250,mercedesnavaslaguna@yahoo.es
Biblioteca Pública Municipal de Poblete,14,13008063796,BIBLIOTECA PÚBLICA MUNICIPAL DE POBLETE,"Plaza Cervantes, 2",13195,Poblete,https://www.wikidata.org/wiki/Q1642159,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926836960,biblioteca@poblete.es
Bibliotecas dependientes del Ayuntamiento de Porzuna,15,13008136522,BIBLIOTECA PÚBLICA MUNICIPAL DE PORZUNA,"Toledo, 28",13120,Porzuna,https://www.wikidata.org/wiki/Q1643639,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926781289,bpporzuna@gmail.com
Bibliotecas dependientes del Ayuntamiento de Porzuna,850,13008131224,BIBLIOTECA PÚBLICA MUNICIPAL DE EL TRINCHETO,"Crta. de Los Cortijos, 15",13129,Porzuna,https://www.wikidata.org/wiki/Q1643639,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926780001,bibliotecatrincheto@gmail.com
Biblioteca Pública Municipal de Pozuelo de Calatrava,16,13008283797,BIBLIOTECA PÚBLICA MUNICIPAL DE POZUELO DE CALATRAVA,"Plaza de España, 1",13179,Los Pozuelos de Calatrava,https://www.wikidata.org/wiki/Q1658747,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926840341,biblioteca@pozuelodecalatrava.es
Biblioteca Pública Municipal de Puebla de Don Rodrigo,18,13008343798,BIBLIOTECA PÚBLICA MUNICIPAL DE PUEBLA DE DON RODRIGO,"Cuatro Esquinas, 13",13109,Puebla de Don Rodrigo,https://www.wikidata.org/wiki/Q1632588,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926777278,bibliopurodrigo@gmail.com
Biblioteca Pública Municipal de Puerto Lápice,20,13012363819,BIBLIOTECA PÚBLICA MUNICIPAL DE PUERTO LÁPICE,"Cervantes, 2",13650,Puerto Lápice,https://www.wikidata.org/wiki/Q1630316,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926576041,nupave7@hotmail.com
Red de Bibliotecas Públicas Municipales de Puertollano,25,13008656523,BIBLIOTECA PÚBLICA MUNICIPAL DE PUERTOLLANO,"Numancia, 55",13500,Puertollano,https://www.wikidata.org/wiki/Q215822,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926410564,luisfernando.biblioteca@puertollano.es
Red de Bibliotecas Públicas Municipales de Puertollano,786,13008651239,"BIBLIOTECA PÚBLICA MUNICIPAL ""LAS MERCEDES""","Pelayo, 5",13500,Puertollano,https://www.wikidata.org/wiki/Q215822,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926410564,biblioteca@puertollano.es
Biblioteca Pública Municipal de Retuerta del Bullaque,26,13005196437,BIBLIOTECA PÚBLICA MUNICIPAL DE RETUERTA DEL BULLAQUE,"Peligro, 1",13194,Retuerta del Bullaque,https://www.wikidata.org/wiki/Q268999,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,658519282,cristina.retu@yahoo.es
Biblioteca Pública Municipal de El Robledo,27,13007546438,BIBLIOTECA PÚBLICA MUNICIPAL DE EL ROBLEDO,"Candelaria,19",13114,El Robledo,https://www.wikidata.org/wiki/Q643808,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,618410848,biblioteca@elrobledo.es
Biblioteca Pública Municipal de Ruidera,808,13012153818,BIBLIOTECA PÚBLICA MUNICIPAL DE RUIDERA,"Redondilla, 14",13249,Ruidera,https://www.wikidata.org/wiki/Q1657922,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926528103,bibliotecaruidera@gmail.com
Biblioteca Pública Municipal de Saceruela,28,13014473832,BIBLIOTECA PÚBLICA MUNICIPAL DE SACERUELA,"Virgen de las Cruces, 16",13414,Saceruela,https://www.wikidata.org/wiki/Q1657948,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926779900,bibliosace@yahoo.es
Biblioteca Pública Municipal de San Carlos del Valle,29,13008873801,BIBLIOTECA PÚBLICA MUNICIPAL DE SAN CARLOS DEL VALLE,"Plaza Rasillo de la Mancha, 10",13247,San Carlos del Valle,https://www.wikidata.org/wiki/Q1628769,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926630267,bibliocarlos3@gmail.com
Biblioteca Pública Municipal de Santa Cruz de Mudela,32,13009113802,BIBLIOTECA PÚBLICA MUNICIPAL DE SANTA CRUZ DE MUDELA,"Plaza de Andres Cacho, 6",13730,Santa Cruz de Mudela,https://www.wikidata.org/wiki/Q958776,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926331448,biblioteca@stacruzmudela.org
Biblioteca Pública Municipal de Socuéllamos,33,13009263803,BIBLIOTECA PÚBLICA MUNICIPAL DE SOCUÉLLAMOS,"Pedro Arias, 87",13630,Socuéllamos,https://www.wikidata.org/wiki/Q1614556,Ciudad Real Province,https://www.wikidata.org/wiki/Q54932,926539425,bibliopilar@yahoo.es
