LibraryAdministration,LibraryCode,ID,Library,Address,ZIPcode,Town,Province,Telephone,Email
Biblioteca Pública Municipal de Campo de Criptana,205,13002933769,BIBLIOTECA PÚBLICA MUNICIPAL DE CAMPO DE CRIPTANA,"Santa Ana, 3",13610,Campo de Criptana,Ciudad Real,926562454,biblioteca@campodecriptana.es
Biblioteca Pública Municipal de Carrión de Calatrava,207,13003143770,BIBLIOTECA PÚBLICA MUNICIPAL DE CARRIÓN DE CALATRAVA,"Echegaray, 1",13150,Carrión de Calatrava,Ciudad Real,926814040,biblioteca@carriondecalatrava.es
Biblioteca Pública Municipal de Carrizosa,208,13003293771,BIBLIOTECA PÚBLICA MUNICIPAL DE CARRIZOSA,"Fuente, 5",13329,Carrizosa,Ciudad Real,926368118,bibliocarrizosa@yahoo.es
Biblioteca Pública Municipal de Castellar de Santiago,209,13003353772,BIBLIOTECA PÚBLICA MUNICIPAL DE CASTELLAR DE SANTIAGO,"Plaza de la Constitución, 3",13750,Castellar de Santiago,Ciudad Real,926340225,antonialopez@castellardesantiago.es
Biblioteca Pública Municipal de Chillón,210,13005453777,BIBLIOTECA PÚBLICA MUNICIPAL DE CHILLÓN,"Rosario Márquez, 37",13412,Chillón,Ciudad Real,926712030,casacultura@chillon.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,221,13013491235,BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL,"Plaza Pío XII, 1",13002,Ciudad Real,Ciudad Real,926211044,bmpioxii@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,257,13013491246,"BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL ""SANTIAGO""","Calatrava, 35",13003,Ciudad Real,Ciudad Real,926211044,bmsantiago@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,255,13013491236,BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL,"Guadalajara, 9",13003,Ciudad Real,Ciudad Real,926211044,bmsanjuan@ext.ayto-ciudadreal.es
Biblioteca Pública del Estado en Ciudad Real,211,13003533773,BIBLIOTECA PÚBLICA DEL ESTADO EN CIUDAD REAL,"Avda. Ferrocarril, s/n",13004,Ciudad Real,Ciudad Real,926279215,bpcr@jccm.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,237,13013491244,"BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL ""LARACHE""","Carretera Fuensanta, 18",13004,Ciudad Real,Ciudad Real,926211044,bmlarache@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,230,13013491241,"BIBLIOTECA PÚBLICA MUNICIPAL DE CIUDAD REAL ""LOS ÁNGELES""","Madrid, 6",13004,Ciudad Real,Ciudad Real,926211044,bmangeles@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,229,13013491242,"Biblioteca Pública Municipal de Ciudad Real  ""El Pilar""",Virgen Blanca s /n,13004,Ciudad Real,Ciudad Real,926211044,bmpilar@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,232,13013491243,BIBLIOTECA PÚBLICA MUNICIPAL LA GRANJA,"Brasil, 4",13005,Ciudad Real,Ciudad Real,926211040,bmgranja@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,227,13013491237,BIBLIOTECA PÚBLICA MUNICIPAL DE VALVERDE,"Valeriano García, nº9",13195,Ciudad Real,Ciudad Real,926211044,bmvalverde@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,218,13013491245,BIBLIOTECA PÚBLICA MUNICIPAL DE LAS CASAS,"Las Escuelas, s/n",13196,Ciudad Real,Ciudad Real,926211044,bmcasas@ext.ayto-ciudadreal.es
Red de Bibliotecas Públicas Municipales de Ciudad Real,776,13013491238,BIBLIOTECA PÚBLICA MUNICIPAL DE LA POBLACHUELA,"Carretera Puertollano, km. 2",13197,Ciudad Real,Ciudad Real,926211044,bmpoblachuela@ext.ayto-ciudadreal.es
Biblioteca Pública Municipal de Corral de Calatrava,258,13014043829,BIBLIOTECA PÚBLICA MUNICIPAL DE CORRAL DE CALATRAVA,Paseo Ángel Díaz del Castillo s/n,13190,Corral de Calatrava,Ciudad Real,926830001,administracion@corraldecalatrava.es
Biblioteca Pública Municipal de Los Cortijos,259,13005243775,BIBLIOTECA PÚBLICA MUNICIPAL DE LOS CORTIJOS,"Paraje La Loma, s/n",13427,Cortijos (Los),Ciudad Real,926808052,universidadpopular@loscortijos.com
Biblioteca Pública Municipal de Cózar,260,13005303776,BIBLIOTECA PÚBLICA MUNICIPAL DE CÓZAR,"Bajada del Pilar, 12",13345,Cózar,Ciudad Real,926365022,biblio@cozar.es
Biblioteca Pública Municipal de Daimiel,262,13005613778,BIBLIOTECA PÚBLICA MUNICIPAL DE DAIMIEL,"Gregorio Molinero, 9",13250,Daimiel,Ciudad Real,926260894,biblioteca@aytodaimiel.es
Sala de Lectura Pública de Fernán Caballero,263,13005773779,BIBLIOTECA PÚBLICA MUNICIPAL DE FERNÁN CABALLERO,"San Isidro, 3",13140,Fernán Caballero,Ciudad Real,664472680,bpmfernancaballero@gmail.com
Biblioteca Pública Municipal de Fuencaliente,265,13005963781,BIBLIOTECA PÚBLICA MUNICIPAL DE FUENCALIENTE,"Plaza de España, 5",13130,Fuencaliente,Ciudad Real,926470184,bibliofuen@hotmail.com
Biblioteca Pública Municipal de Fuente El Fresno,267,13006173782,BIBLIOTECA PÚBLICA MUNICIPAL DE FUENTE EL FRESNO,"Antonio de la Fuente, 23",13680,Fuente el Fresno,Ciudad Real,926806717,bpm.fuenteelfresno@hotmail.com
Biblioteca Pública Municipal de Granátula de Calatrava,268,13006223783,BIBLIOTECA PÚBLICA MUNICIPAL DE GRANÁTULA DE CALATRAVA,"Plaza de la Constitución, 2",13360,Granátula de Calatrava,Ciudad Real,926868131,granatulacalatrava.capi@jccm.es
Biblioteca Pública Municipal de Herencia,270,13006433785,BIBLIOTECA PÚBLICA MUNICIPAL DE HERENCIA,"Lope de Vega, 35",13640,Herencia,Ciudad Real,926572475,biblioteca@herencia.es
Biblioteca Pública Municipal de Horcajo de Los Montes,272,13006563786,BIBLIOTECA PÚBLICA MUNICIPAL DE HORCAJO DE LOS MONTES,"Cervantes, 7",13110,Horcajo de los Montes,Ciudad Real,926032709,culturaydeportes@aytohorcajodelosmontes.es
Biblioteca Pública Municipal de Las Labores,273,13006693787,BIBLIOTECA PÚBLICA MUNICIPAL DE LAS LABORES,"Plaza de la Cultura, s/n",13660,Labores (Las),Ciudad Real,926892233,bibliotecalaslabores@gmail.com
Biblioteca Pública Municipal de Llanos del Caudillo,279,13012733823,BIBLIOTECA PÚBLICA MUNICIPAL DE LLANOS DEL CAUDILLO,"Plaza la Constitución, s/n",13220,Llanos del Caudillo,Ciudad Real,926644152,bibliollanos@hotmail.com
Biblioteca Pública Municipal de Luciana,274,NN45307936,BIBLIOTECA PÚBLICA MUNICIPAL DE LUCIANA,"Juan Carlos I, 4",13108,Luciana,Ciudad Real,926769027,bibliotecadeluciana@hotmail.com
Biblioteca Pública Municipal de Malagón,275,13006813788,BIBLIOTECA PÚBLICA MUNICIPAL DE MALAGÓN,"Tercia, 54",13420,Malagón,Ciudad Real,926801135,bibliotecamalagon@hotmail.es
Bibliotecas dependientes del Ayuntamiento de Manzanares,277,13006941222,BIBLIOTECA PÚBLICA MUNICIPAL DE MANZANARES,"Cárcel, 9",13200,Manzanares,Ciudad Real,926613208,biblioteca@manzanares.es
Biblioteca Pública Municipal de Membrilla,3,13007153790,BIBLIOTECA PÚBLICA MUNICIPAL DE MEMBRILLA,"San León, s/n",13230,Membrilla,Ciudad Real,926648022,biblioteca@aytomembrilla.org
Biblioteca Pública Municipal de Miguelturra,6,13007363791,BIBLIOTECA PÚBLICA MUNICIPAL DE MIGUELTURRA,"Calle Carretas , 22",13170,Miguelturra,Ciudad Real,926272049,bibliotecamiguelturra@hotmail.com
Biblioteca Pública Municipal de Montiel,7,13014263831,BIBLIOTECA PÚBLICA MUNICIPAL DE MONTIEL,"Diputación, 8",13326,Montiel,Ciudad Real,926353496,bibliotecamontiel@yahoo.es
Biblioteca Pública Municipal de Moral de Calatrava,8,13007413792,BIBLIOTECA PÚBLICA MUNICIPAL DE MORAL DE CALATRAVA,"Reyes Católicos, 21",13350,Moral de Calatrava,Ciudad Real,926319736,biblioteca@moraldecalatrava.org
Biblioteca Pública Municipal de Pedro Muñoz,11,13007733794,BIBLIOTECA PÚBLICA MUNICIPAL DE PEDRO MUÑOZ,Plaza de España,13620,Pedro Muñoz,Ciudad Real,926586355,biblioteca@pedro-munoz.com
Red de bibliotecas públicas municipales de Piedrabuena,13,13007926521,BIBLIOTECA PÚBLICA MUNICIPAL DE PIEDRABUENA,"Rodríguez Marín, 5",13100,Piedrabuena,Ciudad Real,926760250,mercedesnavaslaguna@yahoo.es
Red de bibliotecas públicas municipales de Piedrabuena,856,13007921261,BIBLIOTECA PÚBLICA MUNICIPAL DE EL ALCORNOCAL,Carolina 12,13100,Piedrabuena,Ciudad Real,926760250,mercedesnavaslaguna@yahoo.es
Biblioteca Pública Municipal de Poblete,14,13008063796,BIBLIOTECA PÚBLICA MUNICIPAL DE POBLETE,"Plaza Cervantes, 2",13195,Poblete,Ciudad Real,926836960,biblioteca@poblete.es
Bibliotecas dependientes del Ayuntamiento de Porzuna,15,13008136522,BIBLIOTECA PÚBLICA MUNICIPAL DE PORZUNA,"Toledo, 28",13120,Porzuna,Ciudad Real,926781289,bpporzuna@gmail.com
Bibliotecas dependientes del Ayuntamiento de Porzuna,850,13008131224,BIBLIOTECA PÚBLICA MUNICIPAL DE EL TRINCHETO,"Crta. de Los Cortijos, 15",13129,Porzuna,Ciudad Real,926780001,bibliotecatrincheto@gmail.com
Biblioteca Pública Municipal de Pozuelo de Calatrava,16,13008283797,BIBLIOTECA PÚBLICA MUNICIPAL DE POZUELO DE CALATRAVA,"Plaza de España, 1",13179,Pozuelo de Calatrava,Ciudad Real,926840341,biblioteca@pozuelodecalatrava.es
Biblioteca Pública Municipal de Puebla de Don Rodrigo,18,13008343798,BIBLIOTECA PÚBLICA MUNICIPAL DE PUEBLA DE DON RODRIGO,"Cuatro Esquinas, 13",13109,Puebla de Don Rodrigo,Ciudad Real,926777278,bibliopurodrigo@gmail.com
Biblioteca Pública Municipal de Puerto Lápice,20,13012363819,BIBLIOTECA PÚBLICA MUNICIPAL DE PUERTO LÁPICE,"Cervantes, 2",13650,Puerto Lápice,Ciudad Real,926576041,nupave7@hotmail.com
Red de Bibliotecas Públicas Municipales de Puertollano,25,13008656523,BIBLIOTECA PÚBLICA MUNICIPAL DE PUERTOLLANO,"Numancia, 55",13500,Puertollano,Ciudad Real,926410564,luisfernando.biblioteca@puertollano.es
Red de Bibliotecas Públicas Municipales de Puertollano,786,13008651239,"BIBLIOTECA PÚBLICA MUNICIPAL ""LAS MERCEDES""","Pelayo, 5",13500,Puertollano,Ciudad Real,926410564,biblioteca@puertollano.es
Biblioteca Pública Municipal de Retuerta del Bullaque,26,13005196437,BIBLIOTECA PÚBLICA MUNICIPAL DE RETUERTA DEL BULLAQUE,"Peligro, 1",13194,Retuerta del Bullaque,Ciudad Real,658519282,cristina.retu@yahoo.es
Biblioteca Pública Municipal de El Robledo,27,13007546438,BIBLIOTECA PÚBLICA MUNICIPAL DE EL ROBLEDO,"Candelaria,19",13114,Robledo (El),Ciudad Real,618410848,biblioteca@elrobledo.es
Biblioteca Pública Municipal de Ruidera,808,13012153818,BIBLIOTECA PÚBLICA MUNICIPAL DE RUIDERA,"Redondilla, 14",13249,Ruidera,Ciudad Real,926528103,bibliotecaruidera@gmail.com
Biblioteca Pública Municipal de Saceruela,28,13014473832,BIBLIOTECA PÚBLICA MUNICIPAL DE SACERUELA,"Virgen de las Cruces, 16",13414,Saceruela,Ciudad Real,926779900,bibliosace@yahoo.es
Biblioteca Pública Municipal de San Carlos del Valle,29,13008873801,BIBLIOTECA PÚBLICA MUNICIPAL DE SAN CARLOS DEL VALLE,"Plaza Rasillo de la Mancha, 10",13247,San Carlos del Valle,Ciudad Real,926630267,bibliocarlos3@gmail.com
Biblioteca Pública Municipal de Santa Cruz de Mudela,32,13009113802,BIBLIOTECA PÚBLICA MUNICIPAL DE SANTA CRUZ DE MUDELA,"Plaza de Andres Cacho, 6",13730,Santa Cruz de Mudela,Ciudad Real,926331448,biblioteca@stacruzmudela.org
Biblioteca Pública Municipal de Socuéllamos,33,13009263803,BIBLIOTECA PÚBLICA MUNICIPAL DE SOCUÉLLAMOS,"Pedro Arias, 87",13630,Socuéllamos,Ciudad Real,926539425,bibliopilar@yahoo.es
Biblioteca Pública Municipal de La Solana,34,13009323804,BIBLIOTECA  PÚBLICA  MUNICIPAL DE LA SOLANA,"Puerta del Sol, 10",13240,Solana (La),Ciudad Real,926631000,biblioteca@lasolana.es
Biblioteca Pública Municipal de Tomelloso,37,13009633805,BIBLIOTECA PÚBLICA MUNICIPAL DE TOMELLOSO,"Independencia, 32",13700,Tomelloso,Ciudad Real,926528801,biblioteca@aytotomelloso.es
Biblioteca Pública Municipal de Torralba de Calatrava,40,13009793806,BIBLIOTECA PÚBLICA MUNICIPAL DE TORRALBA DE CALATRAVA,"Juan Félix Huertas, 2",13160,Torralba de Calatrava,Ciudad Real,926811903,mgomez@ayuntorralba.com
Biblioteca Pública Municipal de Torre de Juan Abad,41,13009853807,BIBLIOTECA PÚBLICA MUNICIPAL DE TORRE DE JUAN ABAD “FRANCISCO DE QUEVEDO”,"Oscura, 8",13344,Torre de Juan Abad,Ciudad Real,926383000,biblioteca@torredejuanabad.es
Biblioteca Pública Municipal de Torrenueva,42,13009983808,BIBLIOTECA PÚBLICA MUNICIPAL DE TORRENUEVA,"Plaza de España, 5",13740,Torrenueva,Ciudad Real,926341531,bibliotorrenueva@gmail.com
Biblioteca Pública Municipal de Valdepeñas,46,13013526524,BIBLIOTECA PÚBLICA MUNICIPAL DE VALDEPEÑAS,"Real, 9",13300,Valdepeñas,Ciudad Real,926329200,bibliotecapublica@valdepenas.es
Biblioteca Pública Municipal de Valenzuela de Calatrava,47,13013283826,BIBLIOTECA PÚBLICA MUNICIPAL DE VALENZUELA DE CALATRAVA,"Marqueses de Torremejía, 4",13279,Valenzuela de Calatrava,Ciudad Real,926867005,biblioteca@valenzueladecalatrava.es
Biblioteca Pública Municipal de Villahermosa,48,13010243810,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAHERMOSA,"Cura Vicario, 1",13332,Villahermosa,Ciudad Real,926375021,angelinabl@hotmail.com
Biblioteca Pública Municipal de Villamanrique,49,13014983833,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAMANRIQUE,de los Toriles s/n,13343,Villamanrique,Ciudad Real,926354290,biblioteca@villamanrique.net
Biblioteca Pública Municipal de Villamayor de Calatrava,50,13010613811,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAMAYOR DE CALATRAVA,"Real, 36",13595,Villamayor de Calatrava,Ciudad Real,926466009,biblioteca@villamayordecalatrava.es
Biblioteca Pública Municipal de Villanueva de la Fuente,51,13012673822,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLANUEVA DE LA FUENTE,"Escuelas, 3",13330,Villanueva de la Fuente,Ciudad Real,967396000,vvadelafuente@gmail.com
Biblioteca Pública Municipal de Villanueva de los Infantes,281,13010773812,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLANUEVA DE LOS INFANTES,"General Pérez Ballesteros, 1",13320,Villanueva de los Infantes,Ciudad Real,926360794,bpm.villa-infantes@local.jccm.es
Biblioteca Pública Municipal de Villarrubia de los Ojos,283,13010963814,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLARRUBIA DE LOS OJOS,"Plaza de la Constitución, 1",13670,Villarrubia de los Ojos,Ciudad Real,926897403,biblioteca@villarrubiadelosojos.es
Biblioteca Pública Municipal de Villarta de San Juan,284,13011003815,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLARTA DE SAN JUAN,"Escuelas, 7",13210,Villarta de San Juan,Ciudad Real,926640380,bpm.villart-sanjuan@local.jccm.es
Biblioteca Pública Municipal del Viso del Marqués,285,13011173816,BIBLIOTECA PÚBLICA MUNICIPAL DEL VISO DEL MARQUÉS,"Real, 60",13770,Viso del Marqués,Ciudad Real,926336409,bibliotecavisodelmarques@gmail.com
Biblioteca Pública Municipal de Alarcón,823,16009143989,BIBLIOTECA PÚBLICA MUNICIPAL DE ALARCÓN,"Posadas, 6",16214,Alarcón,Cuenca,969330319,bibliotecaalarcon@hotmail.es
Biblioteca Pública Municipal de Albalate de las Nogueras,287,16000133918,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBALATE DE LAS NOGUERAS,"Plaza Mayor, s/n",16841,Albalate de las Nogueras,Cuenca,969313529,biblio_albalate@hotmail.com
Biblioteca Pública Municipal de Albendea,753,16009293990,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBENDEA,"Calle Mayor, 2",16812,Albendea,Cuenca,969316001,bibliotecaalbendea@gmail.com
Biblioteca Pública Municipal de La Alberca de Záncara,288,16000283919,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBERCA DE ZÁNCARA,"Cultura, 4",16620,Alberca de Záncara (La),Cuenca,967150144,mercheyyo@hotmail.com
Biblioteca Pública Municipal de Aliaguilla,291,16000343920,BIBLIOTECA PÚBLICA MUNICIPAL DE ALIAGUILLA,"Pablo Casal, 4",16313,Aliaguilla,Cuenca,969364502,biblioteca_aliaguilla@hotmail.com
Sala de Lectura Pública Municipal de Almodóvar del Pinar,839,16013376444,BIBLIOTECA PÚBLICA MUNICIPAL DE ALMODÓVAR DEL PINAR,"La Virgen, s/n",16215,Almodóvar del Pinar,Cuenca,969336377,almodovarpinar.capi@jccm.es
Sala de Lectura Pública de Almonacid del Marquesado,293,16000493921,BIBLIOTECA PÚBLICA MUNICIPAL DE ALMONACID DEL MARQUESADO,Las Peñas,16431,Almonacid del Marquesado,Cuenca,969120231,biblioalmonacid@hotmail.com
Biblioteca Pública Municipal de Arcas del Villar,882,16007826275,BIBLIOTECA PÚBLICA MUNICIPAL DE ARCAS,"Plaza Mayor, s/n",16123,Arcas,Cuenca,969253006,biblioarcas@hotmail.com
Biblioteca-Casa de Cultura de Barajas de Melo,294,16006623972,BIBLIOTECA PÚBLICA MUNICIPAL DE BARAJAS DE MELO,Plaza Puerta del Sol,16460,Barajas de Melo,Cuenca,969121207,bibliotecabarajas@yahoo.es
Biblioteca Pública Municipal de Belmonte,295,16000523922,BIBLIOTECA PÚBLICA MUNICIPAL DE BELMONTE,"San Juan del Castillo, s/n",16640,Belmonte,Cuenca,967170761,bibliotecabelmonte@hotmail.com
Biblioteca Pública Municipal de Beteta,296,16000653923,BIBLIOTECA PÚBLICA MUNICIPAL DE BETETA,"Plaza Mayor, 2",16870,Beteta,Cuenca,969318221,bibliobeteta2@hotmail.com
Biblioteca Pública Municipal de Buenache de Alarcón,824,16009353991,BIBLIOTECA PÚBLICA MUNICIPAL DE BUENACHE DE ALARCÓN,"Calle Nueva, 175",16114,Buenache de Alarcón,Cuenca,969209085,bpmbuenache@yahoo.es
Biblioteca Pública Municipal de Buendía,297,16009403992,BIBLIOTECA PÚBLICA MUNICIPAL DE BUENDÍA,"Tercia, s/n",16512,Buendía,Cuenca,969373270,bpmbuendia@gmail.com
Biblioteca Pública Municipal de Campillo de Altobuey,298,16000713924,BIBLIOTECA PÚBLICA MUNICIPAL DE CAMPILLO DE ALTOBUEY,"Pedrizas, s/n",16210,Campillo de Altobuey,Cuenca,969337365,biblioaltobuey@hotmail.com
Biblioteca Pública Municipal de Campos del Paraíso,887,16006843974,BIBLIOTECA PÚBLICA MUNICIPAL DE CAMPOS DEL PARAÍSO,"Plaza de don Miguel de Carrascosa, s/n",16555,Campos del Paraíso,Cuenca,969124271,bibliocamparaiso@hotmail.com
Biblioteca Pública Municipal de Cañamares,754,16009663994,BIBLIOTECA PÚBLICA MUNICIPAL DE CAÑAMARES,"Rodeo, s/n",16890,Cañamares,Cuenca,969310197,bibliocanamares@hotmail.com
Biblioteca Pública Municipal de Cañete,302,16000903926,BIBLIOTECA PÚBLICA MUNICIPAL DE CAÑETE,"San Andrés, 2",16300,Cañete,Cuenca,969346373,bpmmiguelromero@gmail.com
Bibliotecas dependientes del Ayuntamiento de Cañizares,826,16009916620,BIBLIOTECA PÚBLICA MUNICIPAL DE CAÑIZARES,"Plaza de Santiago,1",16891,Cañizares,Cuenca,969313009,biblio_canizares@hotmail.com
Bibliotecas dependientes del Ayuntamiento de Cañizares,827,16009911247,BIBLIOTECA PÚBLICA MUNICIPAL DE PUENTE DE VADILLOS,"Ctra Beteta, s/n",16892,Cañizares,Cuenca,969313172,biblio_canizares@hotmail.com
Biblioteca Pública Municipal de Carboneras de Guadazaón,303,16006783973,BIBLIOTECA PÚBLICA MUNICIPAL DE CARBONERAS DE GUADAZAÓN,La Flor,16350,Carboneras de Guadazaón,Cuenca,969341009,bpmcarboneras@gmail.com
Biblioteca Pública Municipal de Cardenete,305,16013686447,BIBLIOTECA PÚBLICA MUNICIPAL DE CARDENETE,"Calle Nueva,20",16373,Cardenete,Cuenca,675882886,bibliotecardenete@gmail.com
Sala de Lectura Pública de Casas de Benítez,306,16001113927,BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS DE BENÍTEZ,Rodríguez de La Fuente,16707,Casas de Benítez,Cuenca,969382001,bpm.casasdebenitez@yahoo.es
Biblioteca Pública Municipal de Casas de Fernando Alonso,307,16001263928,BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS DE FERNANDO ALONSO,"Parque, s/n",16610,Casas de Fernando Alonso,Cuenca,969383013,angelinesrmontero@hotmail.com
Biblioteca Pública Municipal de Casas de Haro,755,16010053996,BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS DE HARO,"Plaza de España, 2",16611,Casas de Haro,Cuenca,969380691,bpmcasasdeharo@yahoo.es
Biblioteca Pública Municipal Casas de Los Pinos,870,16013556446,BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS DE LOS PINOS,"Del Parque, 2",16612,Casas de los Pinos,Cuenca,969383203,biblioteca_casaspinos@hotmail.com
Biblioteca Pública Municipal de Casasimarro,308,16001323929,BIBLIOTECA PÚBLICA MUNICIPAL DE CASASIMARRO,"Parque Angel Rodriguez, s/n",16239,Casasimarro,Cuenca,967487588,casasimarrobiblioteca@gmail.com
Biblioteca Pública Municipal de Chillarón de Cuenca,852,16013216443,BIBLIOTECA PÚBLICA MUNICIPAL DE CHILLARÓN DE CUENCA,"Escuelas, s/n",16190,Chillarón de Cuenca,Cuenca,969273320,bpmespidofreire@yahoo.es
Red de Bibliotecas Públicas Muncipales de Cuenca,885,16010336983,BIBLIOTECA PÚBLICA MUNICIPAL DE CUENCA,"Aguirre, 2",16002,Cuenca,Cuenca,969240403,biblioteca@cuenca.es
Red de Bibliotecas Públicas Muncipales de Cuenca,334,16010331201,BIBLIOTECA PÚBLICA MUNICIPAL DE LA FUENTE DEL ORO,"San Damián, s/n",16003,Cuenca,Cuenca,969239004,riodelavida@hotmail.com
Red de Bibliotecas Públicas Muncipales de Cuenca,893,16010331258,BIBLIOTECA PÚBLICA MUNICIPAL DE VILLA ROMÁN,"Avenida de la Música Española, s/n",16004,Cuenca,Cuenca,969234544,bpm.villaroman@hotmail.com
Biblioteca Pública del Estado en Cuenca,337,16002303933,BIBLIOTECA PÚBLICA DEL ESTADO EN CUENCA,"Glorieta González Palencia, 1",16071,Cuenca,Cuenca,969179700,bp.cuenca@jccm.es
"Dirección Provincial de la Consejería de Educación, Cultura y Deporte en Cuenca. Sección del Libro, Archivos y BibliotecasDelegación de Educación, Ciencia y Cultura en Cuenca. Sección del Libro, Archivos y Bibliotecas",544,16013567043,BIBLIOBÚS DE CUENCA I,"González Palencia, 2",16071,Cuenca,Cuenca,680220953,bibliobuscuenca1@jccm.es
"Dirección Provincial de la Consejería de Educación, Cultura y Deporte en Cuenca. Sección del Libro, Archivos y BibliotecasDelegación de Educación, Ciencia y Cultura en Cuenca. Sección del Libro, Archivos y Bibliotecas",908,16013567044,BIBLIOBÚS DE CUENCA II,"González Palencia, 2",16071,Cuenca,Cuenca,648224152,bibliobuscuenca2@jccm.es
Biblioteca Pública Municipal de Enguídanos,350,NN848910441,BIBLIOTECA PÚBLICA MUNICIPAL DE ENGUÍDANOS,"Leonardo Luján, 2",16372,Enguídanos,Cuenca,969344935,bibliotecaenguidanos@gmail.com
Sala de Pública Pública de La Frontera,756,16006973975,BIBLIOTECA PÚBLICA DE LA FRONTERA,"Lavadero, 11",16144,Frontera (La),Cuenca,969310959,bibliofrontera@hotmail.com
Sala de Lectura Pública de Fuente de Pedro Naharro,351,16002833935,BIBLIOTECA PÚBLICA MUNICIPAL DE FUENTE DE PEDRO NAHARRO,"Honorio Ruiz, 9",16411,Fuente de Pedro Naharro,Cuenca,969125297,biblioteca@fuentedepedronaharro.es
Biblioteca Pública Municipal de Fuentes,873,16013426445,BIBLIOTECA PÚBLICA MUNICIPAL DE FUENTES,"Castelar, 3",16193,Fuentes,Cuenca,969257022,bpm.fuentes@hotmail.com
Biblioteca Pública Municipal de Graja de Iniesta,854,16013166442,BIBLIOTECA PÚBLICA MUNICIPAL DE GRAJA DE INIESTA,"La Iglesia, 26",16251,Graja de Iniesta,Cuenca,962312419,grajadeiniesta.secretaria@dipucuenca.es
Biblioteca Pública Municipal de El Herrumblar,353,16002963936,BIBLIOTECA PÚBLICA MUNICIPAL DE EL HERRUMBLAR,"Cuenca, 73",16290,Herrumblar (El),Cuenca,962313100,biblioherrum@hotmail.com
Biblioteca Pública Municipal de Los Hinojosos,355,16003003937,BIBLIOTECA PÚBLICA MUNICIPAL DE LOS HINOJOSOS,"Plaza del Alcalde Adolfo Heras, 1",16417,Hinojosos (Los),Cuenca,969129740,bibliohinojosos@yahoo.es
Biblioteca Pública Municipal de Honrubia,356,16003173938,BIBLIOTECA PÚBLICA MUNICIPAL DE HONRUBIA,"Av/ de España, 40",16730,Honrubia,Cuenca,969292048,bpmhonrubia@gmail.com
Biblioteca Pública Municipal de Horcajo de Santiago,357,16003223939,BIBLIOTECA PÚBLICA MUNICIPAL DE HORCAJO DE SANTIAGO,"Huertas, 23",16410,Horcajo de Santiago,Cuenca,969127655,bibliotecahorcajo@hotmail.es
Biblioteca Pública Municipal de Huete,358,16003383940,BIBLIOTECA PÚBLICA MUNICIPAL DE HUETE,"Plaza de la Merced, 1",16500,Huete,Cuenca,969371005,bphuete@gmail.com
Biblioteca Pública Municipal de Iniesta,359,16003433941,BIBLIOTECA PÚBLICA MUNICIPAL DE INIESTA,"Alarcón, 2",16235,Iniesta,Cuenca,967490427,bpm.iniesta@hotmail.com
Biblioteca Pública Municipal de Landete,360,16003563942,BIBLIOTECA PÚBLICA MUNICIPAL DE LANDETE,"Matias Valero, 8",16330,Landete,Cuenca,969368013,bfdc.landete@gmail.com
Biblioteca Pública Municipal de Ledaña,361,16010483999,BIBLIOTECA PÚBLICA MUNICIPAL DE LEDAÑA,"Princesa, 1",16237,Ledaña,Cuenca,967492240,biblio.ledana@gmail.com
Biblioteca Pública Municipal de Las Majadas,759,16010644001,BIBLIOTECA PÚBLICA MUNICIPAL DE LAS MAJADAS,"Atanasio Lasso, 12",16142,Majadas (Las),Cuenca,969283102,majadas.capi@jccm.es
Biblioteca Pública Municipal de Las Mesas,362,16003753943,BIBLIOTECA PÚBLICA MUNICIPAL DE LAS MESAS,"Escuelas, 2",16650,Mesas (Las),Cuenca,673234334,bibliotecalasmesas@gmail.com
