District,wikidata DistrictOfMadrid,Neighbourhood,wikidata NeighbourhoodOfMadrid,Place,PlaceURI,ACCIONA,Taxify,KOKO,UFO,RIDECONGA,FLASH,LIME,WIND,BIRD,REBY RIDES,MOVO,MYGO,JUMP UBER,SJV CONSULTING
San Blas,https://www.wikidata.org/wiki/Q2001937,Hellín,https://www.wikidata.org/wiki/Q10294546,SAN BLAS-CANILLEJAS HELLÍN,SANBLAS-CANILLEJASHELLÍN,0,0,0,3,0,0,2,0,2,5,0,0,5,0
San Blas,https://www.wikidata.org/wiki/Q2001937,Amposta,https://www.wikidata.org/wiki/Q11905392,SAN BLAS-CANILLEJAS AMPOSTA,SANBLAS-CANILLEJASAMPOSTA,0,0,0,2,0,0,1,0,1,2,0,0,2,0
San Blas,https://www.wikidata.org/wiki/Q2001937,Arcos,https://www.wikidata.org/wiki/Q9627876,SAN BLAS-CANILLEJAS ARCOS,SANBLAS-CANILLEJASARCOS,0,0,0,4,0,0,10,0,5,0,0,0,5,0
San Blas,https://www.wikidata.org/wiki/Q2001937,Rosas,https://www.wikidata.org/wiki/Q18880469,SAN BLAS-CANILLEJAS ROSAS,SANBLAS-CANILLEJASROSAS,0,0,0,6,0,0,9,0,5,0,0,0,9,0
San Blas,https://www.wikidata.org/wiki/Q2001937,Rejas,https://www.wikidata.org/wiki/Q10359029,SAN BLAS-CANILLEJAS REJAS,SANBLAS-CANILLEJASREJAS,0,0,0,0,0,0,0,0,0,34,0,0,0,0
San Blas,https://www.wikidata.org/wiki/Q2001937,Canillejas,https://www.wikidata.org/wiki/Q663013,SAN BLAS-CANILLEJAS CANILLEJAS,SANBLAS-CANILLEJASCANILLEJAS,0,0,0,6,0,11,4,0,7,0,0,0,11,0
San Blas,https://www.wikidata.org/wiki/Q2001937,Salvador,https://www.wikidata.org/wiki/Q10367095,SAN BLAS-CANILLEJAS SALVADOR,SANBLAS-CANILLEJASSALVADOR,0,0,0,6,0,7,0,0,5,0,0,0,7,0
Barajas,https://www.wikidata.org/wiki/Q807230,Alameda de Osuna,https://www.wikidata.org/wiki/Q760737,BARAJAS ALAMEDA DE OSUNA,BARAJASALAMEDADEOSUNA,0,0,0,6,0,12,12,0,12,0,0,0,0,0
Barajas,https://www.wikidata.org/wiki/Q807230,Aeropuerto,https://www.wikidata.org/wiki/Q9586697,BARAJAS AEROPUERTO,BARAJASAEROPUERTO,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Barajas,https://www.wikidata.org/wiki/Q807230,Casco Histórico de Barajas,https://www.wikidata.org/wiki/Q9701730,BARAJAS CASCO HISTÓRICO DE BARAJAS,BARAJASCASCOHISTÓRICODEBARAJAS,0,0,0,6,0,6,0,0,4,0,0,0,0,0
Barajas,https://www.wikidata.org/wiki/Q807230,Timón,https://www.wikidata.org/wiki/Q10382570,BARAJAS TIMÓN,BARAJASTIMÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barajas,https://www.wikidata.org/wiki/Q807230,Corralejos,https://www.wikidata.org/wiki/Q10260772,BARAJAS CORRALEJOS,BARAJASCORRALEJOS,0,0,0,0,0,15,15,0,5,0,0,0,0,0
